001  00119 |Loss: 1.796 | Acc: 34.506% 
001  00120 |Loss: 1.793 | Acc: 34.570% 
001  00121 |Loss: 1.792 | Acc: 34.646% 
001  00122 |Loss: 1.790 | Acc: 34.702% 
001  00123 |Loss: 1.788 | Acc: 34.743% 
001  00124 |Loss: 1.786 | Acc: 34.766% 
001  00125 |Loss: 1.784 | Acc: 34.838% 
001  00126 |Loss: 1.781 | Acc: 34.902% 
001  00127 |Loss: 1.779 | Acc: 34.947% 
001  00128 |Loss: 1.776 | Acc: 35.065% 
001  00129 |Loss: 1.774 | Acc: 35.126% 
001  00130 |Loss: 1.773 | Acc: 35.126% 
001  00131 |Loss: 1.772 | Acc: 35.168% 
001  00132 |Loss: 1.771 | Acc: 35.221% 
001  00133 |Loss: 1.769 | Acc: 35.203% 
001  00134 |Loss: 1.768 | Acc: 35.226% 
001  00135 |Loss: 1.766 | Acc: 35.289% 
001  00136 |Loss: 1.765 | Acc: 35.283% 
001  00137 |Loss: 1.765 | Acc: 35.276% 
001  00138 |Loss: 1.764 | Acc: 35.281% 
001  00139 |Loss: 1.763 | Acc: 35.302% 
001  00140 |Loss: 1.760 | Acc: 35.419% 
001  00141 |Loss: 1.759 | Acc: 35.461% 
001  00142 |Loss: 1.757 | Acc: 35.503% 
001  00143 |Loss: 1.756 | Acc: 35.555% 
001  00144 |Loss: 1.754 | Acc: 35.623% 
001  00145 |Loss: 1.753 | Acc: 35.652% 
001  00146 |Loss: 1.751 | Acc: 35.702% 
001  00147 |Loss: 1.751 | Acc: 35.736% 
001  00148 |Loss: 1.749 | Acc: 35.790% 
001  00149 |Loss: 1.748 | Acc: 35.843% 
001  00150 |Loss: 1.747 | Acc: 35.818% 
001  00151 |Loss: 1.746 | Acc: 35.881% 
001  00152 |Loss: 1.745 | Acc: 35.891% 
001  00153 |Loss: 1.744 | Acc: 36.004% 
001  00154 |Loss: 1.743 | Acc: 36.090% 
001  00155 |Loss: 1.741 | Acc: 36.124% 
001  00156 |Loss: 1.741 | Acc: 36.168% 
001  00157 |Loss: 1.740 | Acc: 36.231% 
001  00158 |Loss: 1.739 | Acc: 36.259% 
001  00159 |Loss: 1.738 | Acc: 36.301% 
001  00160 |Loss: 1.738 | Acc: 36.313% 
001  00161 |Loss: 1.736 | Acc: 36.326% 
001  00162 |Loss: 1.734 | Acc: 36.362% 
001  00163 |Loss: 1.733 | Acc: 36.388% 
001  00164 |Loss: 1.731 | Acc: 36.481% 
001  00165 |Loss: 1.729 | Acc: 36.553% 
001  00166 |Loss: 1.728 | Acc: 36.521% 
001  00167 |Loss: 1.727 | Acc: 36.555% 
001  00168 |Loss: 1.725 | Acc: 36.621% 
001  00169 |Loss: 1.724 | Acc: 36.645% 
001  00170 |Loss: 1.722 | Acc: 36.723% 
001  00171 |Loss: 1.721 | Acc: 36.764% 
001  00172 |Loss: 1.720 | Acc: 36.769% 
001  00173 |Loss: 1.718 | Acc: 36.850% 
001  00174 |Loss: 1.716 | Acc: 36.939% 
001  00175 |Loss: 1.715 | Acc: 37.004% 
001  00176 |Loss: 1.714 | Acc: 37.052% 
001  00177 |Loss: 1.714 | Acc: 37.050% 
001  00178 |Loss: 1.712 | Acc: 37.114% 
001  00179 |Loss: 1.711 | Acc: 37.168% 
001  00180 |Loss: 1.708 | Acc: 37.248% 
001  00181 |Loss: 1.707 | Acc: 37.267% 
001  00182 |Loss: 1.705 | Acc: 37.328% 
001  00183 |Loss: 1.704 | Acc: 37.363% 
001  00184 |Loss: 1.704 | Acc: 37.411% 
001  00185 |Loss: 1.703 | Acc: 37.428% 
001  00186 |Loss: 1.701 | Acc: 37.475% 
001  00187 |Loss: 1.700 | Acc: 37.521% 
001  00188 |Loss: 1.699 | Acc: 37.562% 
001  00189 |Loss: 1.697 | Acc: 37.612% 
001  00190 |Loss: 1.696 | Acc: 37.640% 
001  00191 |Loss: 1.695 | Acc: 37.639% 
001  00192 |Loss: 1.694 | Acc: 37.732% 
001  00193 |Loss: 1.692 | Acc: 37.804% 
001  00194 |Loss: 1.691 | Acc: 37.838% 
001  00195 |Loss: 1.690 | Acc: 37.869% 
001  00196 |Loss: 1.689 | Acc: 37.895% 
001  00197 |Loss: 1.688 | Acc: 37.944% 
001  00198 |Loss: 1.686 | Acc: 38.001% 
001  00199 |Loss: 1.685 | Acc: 38.065% 
001  00200 |Loss: 1.684 | Acc: 38.137% 
001  00201 |Loss: 1.683 | Acc: 38.165% 
001  00202 |Loss: 1.681 | Acc: 38.204% 
001  00203 |Loss: 1.680 | Acc: 38.231% 
001  00204 |Loss: 1.679 | Acc: 38.277% 
001  00205 |Loss: 1.677 | Acc: 38.335% 
001  00206 |Loss: 1.676 | Acc: 38.406% 
